long.,lat.,age,rooms,b_rooms,population,households,median_income,house_value
-122.23,37.88,41,6.984126984,1.023809524,2.555555556,126,8.3252,452600
-122.22,37.86,21,6.238137083,0.971880492,2.109841828,1138,8.3014,358500
-122.24,37.85,52,8.288135593,1.073446328,2.802259887,177,7.2574,352100
-122.25,37.85,52,5.817351598,1.073059361,2.547945205,219,5.6431,341300
-122.25,37.85,52,6.281853282,1.081081081,2.181467181,259,3.8462,342200
-122.25,37.85,52,4.761658031,1.103626943,2.139896373,193,4.0368,269700
-122.25,37.84,52,4.931906615,0.951361868,2.128404669,514,3.6591,299200
-122.25,37.84,52,4.797527048,1.061823802,1.788253478,647,3.12,241400
-122.26,37.84,42,4.294117647,1.117647059,2.026890756,595,2.0804,226700
-122.25,37.84,52,4.970588235,0.990196078,2.172268908,714,3.6912,261100
-122.26,37.85,52,5.47761194,1.07960199,2.263681592,402,3.2031,281500
-122.26,37.85,52,4.772479564,1.024523161,2.049046322,734,3.2705,241800
-122.26,37.85,52,5.322649573,1.012820513,2.346153846,468,3.075,213500
-122.26,37.84,52,4,1.097701149,1.982758621,174,2.6736,191300
-122.26,37.85,52,4.262903226,1.009677419,1.95483871,620,1.9167,159200
-122.26,37.85,50,4.242424242,1.071969697,2.640151515,264,2.125,140000
-122.27,37.85,52,5.939577039,1.048338369,2.395770393,331,2.775,152500
-122.27,37.85,52,4.052805281,0.9669967,2.138613861,303,2.1202,155500
-122.26,37.84,50,5.343675418,1.085918854,2.362768496,419,1.9911,158700
-122.27,37.84,52,5.465454545,1.083636364,2.509090909,275,2.6033,162900
-122.27,37.85,40,4.524096386,1.108433735,2.463855422,166,1.3578,147500
-122.27,37.85,42,4.478142077,1.00273224,2.538251366,366,1.7135,159800
-122.27,37.84,52,5.09623431,1.131799163,2.123430962,478,1.725,113900
-122.27,37.84,52,5.193846154,1.036923077,2.624615385,325,2.1806,99700
-122.27,37.84,52,5.27014218,1.035545024,2.383886256,422,2.6,132600
-122.28,37.85,41,4.495798319,1.033613445,2.663865546,119,2.4038,107500
-122.28,37.85,49,4.728033473,1.020920502,2.539748954,239,2.4597,93800
-122.28,37.85,52,4.780856423,1.060453401,2.77581864,397,1.808,105500
-122.28,37.84,50,4.401691332,1.040169133,2.391120507,473,1.6424,108900
-122.28,37.84,52,4.703225806,1.032258065,2.548387097,155,1.6875,132000
-122.28,37.84,49,5.068783069,1.182539683,2.283068783,378,1.9274,122300
-122.28,37.84,52,4.882086168,1.090702948,2.648526077,441,1.9615,115200
-122.27,37.84,48,5.737313433,1.220895522,3.062686567,335,1.7969,110400
-122.27,37.83,49,5.030395137,1.112462006,2.291793313,329,1.375,104900
-122.27,37.83,51,4.972014925,1.070895522,2.347014925,536,2.7303,109700
-122.27,37.83,49,4.602272727,1.068181818,2.159090909,264,1.4861,97200
-122.27,37.83,48,4.807486631,1.155080214,2.639037433,374,1.0972,104500
-122.28,37.83,52,3.749379653,0.967741935,2.23573201,403,1.4103,103900
-122.26,37.83,52,4.757281553,1.067961165,2.229773463,309,3.48,191400
-122.26,37.83,52,3.494252874,1.027298851,1.978448276,696,2.5898,176000
-122.26,37.83,52,4.215189873,1.060759494,2.394936709,395,2.0978,155400
-122.26,37.83,51,3.759036145,1.248995984,2.076305221,249,1.2852,150000
-122.26,37.84,49,3.772486772,1.068783069,2.444444444,189,1.025,118800
-122.26,37.84,52,4.797979798,1.02020202,2.358585859,198,3.9643,188800
-122.26,37.83,52,4.941780822,1.065068493,2.260273973,292,3.0125,184400
-122.26,37.83,52,4.335078534,1.09947644,1.879581152,382,2.6768,182300
-122.26,37.83,50,3.700657895,1.059210526,2.026315789,304,2.026,142500
-122.27,37.82,43,3.980237154,1.233201581,2.205533597,253,1.7348,137500
-122.26,37.82,40,3.9,1.21875,2.64375,160,0.9506,187500
-122.27,37.82,40,2.6875,1.065340909,1.988636364,352,1.775,112500
-122.27,37.82,21,2.0456621,1.034246575,1.678082192,438,0.9218,171900
-122.27,37.82,43,4.58968059,1.12039312,2.606879607,407,1.5045,93800
-122.27,37.82,41,4.473611111,1.184722222,2.720833333,720,1.1108,97500
-122.27,37.82,52,4.075,1.14,2.905,400,1.2475,104200
-122.28,37.82,52,5.021459227,1.008583691,3.008583691,233,1.6098,87500
-122.28,37.82,52,4.295454545,1.104545455,2.618181818,220,1.4113,83100
-122.28,37.82,52,4.77992278,1.111969112,2.401544402,259,1.5057,87500
-122.28,37.82,52,6.102459016,1.37295082,2.983606557,244,0.8172,85300
-122.28,37.82,52,4.5625,1.121710526,3.532894737,304,1.2171,80300
-122.29,37.82,2,2.771929825,0.754385965,1.649122807,57,2.5625,60000
-122.29,37.83,52,5.994652406,1.128342246,2.962566845,187,3.3929,75700
-122.29,37.82,49,5.869565217,1.260869565,3.739130435,23,6.1183,75000
-122.29,37.81,50,6.229508197,1.557377049,3.090163934,122,0.9011,86100
-122.3,37.81,52,7.698113208,1.490566038,3.27672956,159,1.191,76100
-122.3,37.81,48,6.22556391,1.368421053,2.947368421,133,2.5938,73500
-122.3,37.81,52,5.401069519,1.117647059,3.229946524,187,1.1667,78400
-122.3,37.81,48,4.38253012,1.06626506,2.373493976,332,0.8056,84400
-122.29,37.8,52,6.986394558,1.659863946,3.346938776,147,2.6094,81300
-122.3,37.81,52,6.975609756,1.329268293,3.341463415,82,1.8516,85000
-122.29,37.81,46,4.584288052,1.05400982,2.983633388,611,0.9802,129200
-122.29,37.81,26,6.047244094,1.196850394,3.086614173,127,1.7719,82500
