fee,heya_kaisuu,shikikin,reikin,no_heya,menseki,toho,age,kaisu
61000,1,0,116000,1,32.72,9,5,3
64000,1,0,0,1,32.72,9,5,3
61000,1,0,116000,1,32.72,9,5,3
64000,1,0,0,1,32.72,9,5,3
70500,3,0,0,2,53.25,10,24,3
71500,1,0,68000,1,33,8,10,2
73900,2,0,70000,1,33,8,10,2
75000,1,0,72000,1,33.26,8,5,3
71900,2,0,120000,1,44.57,4,6,2
63000,1,0,120000,1,30.2,3,5,3
66000,1,0,0,1,30.21,3,5,3
70000,3,0,134000,1,37.8,3,5,3
71000,2,0,100000,3,52.6,8,34,7
63000,1,0,120000,1,30.2,2,5,3
66000,1,0,0,1,30.2,2,5,3
73000,3,0,0,1,37.8,2,5,3
88000,2,0,200000,1,46.31,10,5,3
90000,2,0,200000,1,46.31,10,5,3
66000,3,0,63000,1,23.62,7,0,3
66000,3,0,63000,1,25.65,7,0,3
66000,3,0,63000,1,23.3,7,0,3
67000,2,0,61000,1,24.18,8,0,5
67000,2,0,61000,1,24.18,8,0,5
68000,3,0,62000,1,24.18,8,0,5
68000,4,0,62000,1,24.18,8,0,5
68000,3,0,62000,1,24.18,8,0,5
68000,4,0,62000,1,24.18,8,0,5
69000,3,0,63000,1,24.18,8,0,5
69000,5,0,63000,1,24.18,8,0,5
69000,3,0,63000,1,24.18,8,0,5
69000,4,0,63000,1,24.18,8,0,5
69000,3,0,63000,1,24.18,8,0,5
69000,5,0,63000,1,24.18,8,0,5
70000,5,0,64000,1,24.18,8,0,5
70000,5,0,64000,1,24.18,8,0,5
66000,2,0,60000,1,28.54,10,16,5
66000,5,0,60000,1,28.54,10,16,5
63000,2,0,0,1,24,10,8,3
62000,2,0,0,1,24.99,10,14,11
62000,6,0,0,1,24.9,10,14,11
65000,4,0,0,1,24.9,10,14,11
65000,6,0,0,1,24.9,10,14,11
66000,10,0,0,1,24.9,10,14,11
63000,1,0,100000,1,30.04,10,12,5
64000,1,0,100000,1,30.04,10,12,5
65000,2,0,100000,1,26.64,10,12,5
66000,2,0,100000,1,26.64,10,12,5
55000,1,0,0,1,24.35,11,4,3
57000,1,0,0,1,25.61,11,4,3
57000,1,0,0,1,24.35,11,4,3
59000,1,0,0,1,25.61,11,4,3
60000,1,0,0,1,24.35,11,4,3
62000,2,0,57000,1,24.35,11,4,3
